,HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
0,Norwich,Liverpool,A,58.46985298928588,21.279140451935724,20.251006558778393
1,Liverpool,Burnley,D,31.8994943621722,43.22765802754318,24.872847610284605
2,Liverpool,Chelsea,H,14.545274577835274,34.517108682706976,50.937616739457745
3,Leeds United,Liverpool,D,14.221937007887808,77.50533587959023,8.272727112521961
4,Liverpool,Crystal Palace,H,40.50230246775716,13.542104378546234,45.9555931536966
5,Brentford,Liverpool,D,12.4757863724796,80.38969545458122,7.134518172939187
6,Liverpool,Manchester City,D,19.56299185521363,56.4128722758963,24.024135868890063
7,Watford,Liverpool,D,27.772878868590468,55.82636109158562,16.400760039823915
8,Manchester United ,Liverpool,D,17.24100639613486,72.50655915284935,10.252434451015787
9,Liverpool,Brigton & Hove Albion,H,21.195720769099495,37.96552181070924,40.83875742019126
10,West Ham,Liverpool,D,36.71155170127503,50.4596111095733,12.828837189151676
11,Liverpool,Arsenal ,H,20.390658262363335,29.271817177445598,50.33752456019106
12,Liverpool,Southampton,H,22.105696301252404,31.153957810271383,46.74034588847621
13,Everton,Liverpool,D,41.08533284435943,54.01318217225124,4.9014849833893255
14,Wolverhampton Wanderers,Liverpool,D,41.13268236622131,47.79793449514555,11.069383138633146
15,Liverpool,Aston Villa,H,19.931543504366857,20.92913106489446,59.13932543073868
16,Liverpool,Newcastle United,H,10.117058458011684,11.67872824412183,78.20421329786649
17,Tottenham Hotspur,Liverpool,D,20.489129916160543,72.82947683013367,6.681393253705792
18,Liverpool,Leeds United,D,20.91647017384416,63.80403705791215,15.279492768243694
19,Leicester City,Liverpool,A,43.515019675720616,38.18890054392202,18.296079780357356
20,Chelsea,Liverpool,D,23.14488723059159,56.880056576106874,19.975056193301537
21,Liverpool,Brenford,D,19.74636183441689,54.06941753074439,26.184220634838717
22,Crystal Palace,Liverpool,D,34.16417892897953,54.647432849176646,11.188388221843834
23,Liverpool,Leicester City,D,25.317250232692707,38.169593409811455,36.51315635749584
24,Burnley,Liverpool,D,17.988111249679147,76.24023928532773,5.7716494649931
25,Liverpool,Norwich,H,11.412763187523474,39.97989502505974,48.60734178741679
26,Arsenal,Liverpool,D,26.55185868000825,53.11318655070956,20.334954769282188
27,Liverpool,Watford,D,33.422689953697116,40.11036543767439,26.46694460862849
28,Manchester City ,Liverpool,D,31.79503042351581,47.71060893698303,20.49436063950117
29,Aston Villa,Liverpool,D,21.27749828018736,70.05674421711782,8.6657575026948
30,Liverpool,Everton,H,28.674302295686843,34.02136805155379,37.304329652759364
31,Newcastle United,Liverpool,D,21.40691504114943,69.2616312339768,9.33145372487377
32,Liverpool,Tottenham Hotspur,D,7.479644993634915,62.28887714380148,30.23147786256361
33,Southampton,Liverpool,D,43.31366975307224,47.98590102245572,8.700429224472032
34,Liverpool,Wolverhapton Wanderers,H,12.203346147512608,39.65977206553213,48.13688178695526
35,leeds United,Liverpool,D,37.821309410660106,44.50254504317171,17.676145546168183
36,Sheffield United,Liverpool,A,52.52008641496991,34.20104372679128,13.278869858238803
37,Brigton & Hove Albion,Liverpool,D,29.853630779190837,62.30669967389038,7.83966954691879
